"","BALLOT","NATEDUC","NATDRUG","NATCRIME","NATCITY","NATHEAL","NATENVIR","NATSPAC","POLVIEWS","NATRACE","NATARMS","NATAID","NATENRGY","NATSCI","NATCHLD","NATPARK","NATMASS","NATSOC","NATROAD","NATFARE","IF12WHO","VOTE12","CHILDS","DIVORCE","AGEWED","MARITAL","EVWORK","HRS1","WRKSTAT","ID_","AGE","EDUC","DEGREE","PARTYID","INCOME","HOMPOP","RACE","SEX","SPDEG","MADEG","PADEG","YEAR"
"83",1,0,0,0,0,0,0,0,5,0,0,0,2,2,1,2,1,1,1,0,0,1,1,2,0,1,0,48,1,83,33,16,3,4,12,3,1,1,2,2,3,2016
"84",3,0,0,0,0,0,0,0,4,0,0,0,2,2,1,3,2,1,3,0,8,2,3,0,0,3,0,40,1,84,44,12,1,4,12,4,1,1,-1,1,1,2016
"85",3,1,1,8,1,1,1,8,4,1,3,3,1,8,8,2,1,8,1,3,1,2,3,2,0,1,0,46,1,85,41,16,2,1,12,5,1,1,2,1,1,2016
"86",1,2,2,1,1,1,1,3,4,2,1,3,2,1,2,2,2,1,2,3,0,1,2,0,0,3,0,48,1,86,52,12,1,6,12,1,1,1,7,1,1,2016
"87",2,0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,2,1,1,0,0,1,0,0,0,5,0,40,1,87,45,16,3,4,12,1,1,2,7,1,1,2016
"88",1,2,1,1,3,1,1,8,4,2,3,2,1,1,2,2,2,2,2,2,1,2,1,0,0,3,0,50,1,88,41,13,1,2,11,2,3,2,7,0,1,2016
"89",3,0,0,0,0,0,0,0,8,0,0,0,2,2,1,1,1,2,2,0,1,2,3,0,0,4,0,40,1,89,41,12,1,2,11,3,1,2,7,0,0,2016
"90",3,0,0,0,0,0,0,0,3,0,0,0,8,1,1,2,1,1,2,0,1,2,0,0,0,5,1,-1,5,90,68,12,1,2,98,1,1,1,7,0,1,2016
"91",2,1,1,1,1,1,1,2,4,1,2,2,1,1,1,1,1,1,2,1,0,1,3,0,0,5,1,-1,7,91,57,12,1,1,11,2,2,2,7,2,1,2016
"92",3,2,1,1,1,8,1,8,1,1,2,1,1,2,2,2,1,1,1,3,0,1,3,1,0,1,1,-1,7,92,72,20,4,1,12,3,2,1,3,1,7,2016
"93",1,1,1,8,1,1,1,8,9,1,3,3,1,1,1,1,1,1,1,1,0,1,0,0,0,3,1,-1,5,93,68,19,4,3,12,1,1,1,7,0,0,2016
"94",3,0,0,0,0,0,0,0,3,0,0,0,1,2,2,2,1,1,1,0,0,1,0,0,0,5,0,40,1,94,50,16,3,2,12,1,1,1,7,1,7,2016
"95",3,1,2,2,1,2,2,2,3,3,2,3,1,2,3,2,1,2,1,2,0,1,0,0,0,5,0,70,1,95,40,17,4,2,12,1,1,1,7,1,1,2016
"96",2,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,1,1,0,0,1,0,0,0,5,0,99,1,96,58,15,1,7,12,1,1,1,7,1,0,2016
"97",2,8,8,1,1,2,1,2,1,8,3,3,1,2,8,2,1,2,2,3,1,2,0,0,0,5,0,98,1,97,43,16,1,1,11,1,1,1,7,4,7,2016
"98",2,1,1,2,1,1,1,1,4,1,3,1,2,2,1,2,1,2,1,1,1,2,0,0,0,5,0,45,1,98,25,16,3,2,6,2,2,1,7,3,4,2016
"99",3,0,0,0,0,0,0,0,3,0,0,0,1,1,8,2,2,2,1,0,8,2,0,0,0,5,0,40,1,99,33,20,4,3,12,1,3,1,7,3,3,2016
"100",3,1,1,2,2,1,1,1,3,1,3,3,1,1,1,2,2,2,1,2,0,1,0,0,0,5,0,30,2,100,27,16,3,2,13,2,1,1,7,3,7,2016
"101",3,1,3,3,3,3,2,3,4,1,3,3,1,2,1,2,2,1,2,3,0,1,2,1,0,1,0,37,1,101,58,16,3,1,12,4,2,2,3,0,7,2016
"102",2,0,0,0,0,0,0,0,4,0,0,0,2,1,1,2,2,2,1,0,0,1,4,2,0,1,1,-1,5,102,66,12,1,2,12,2,1,2,1,1,1,2016
"103",1,0,0,0,0,0,0,0,4,0,0,0,1,1,1,1,1,1,1,0,3,2,0,0,0,4,1,-1,5,103,66,12,1,2,2,1,1,1,7,1,1,2016
"104",3,1,8,8,8,1,8,3,4,8,8,3,2,2,8,8,8,8,1,8,0,1,2,2,0,2,1,-1,5,104,89,12,1,2,98,1,1,2,7,0,0,2016
"105",3,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,1,3,0,0,1,2,2,0,1,0,42,1,105,29,14,2,2,12,3,3,2,3,2,7,2016
"106",1,0,0,0,0,0,0,0,4,0,0,0,2,3,8,2,3,2,1,0,0,1,0,0,0,5,1,-1,5,106,89,8,0,0,9,2,1,2,7,0,0,2016
